font_size_ratio,is_bold,word_count,is_all_caps,is_title_case,x_position_norm,y_position_norm,block_width_norm,block_height,space_above,"pdf_file=VALUE(MID(A1,5,LEN(A1)-4))",page_num,text_preview,label
1.315067167,1,2,0,1,0.119046489,0.124000147,0.088519005,20.42899323,104.3944855,file06.pdf,0,Dune 3D,Body_Text
0.999999908,0,15,0,0,0.119046489,0.169077997,0.746784448,15.53456116,37.95059204,file06.pdf,0,"Dune 3D is a parametric 3D CAD application that supports STEP import/export, fil",Body_Text
1.09589238,1,1,0,1,0.119046489,0.613848482,0.096078613,17.02423096,374.4478302,file06.pdf,0,Motivation,H1
0.999999908,0,49,0,0,0.119046489,0.650980612,0.761903588,64.31152344,31.26116943,file06.pdf,0,So why another open‑source 3D CAD application when FreeCAD and Solvespace exist?,Body_Text
0.999999908,0,46,0,0,0.118332547,0.735330111,0.765806885,48.05249023,71.01300049,file06.pdf,0,"While FreeCAD technically does everything I need, the way it’s implemented isn’t",Body_Text
0.999999908,0,26,0,0,0.119046489,0.800368231,0.761884927,31.79351807,54.75494385,file06.pdf,0,"Solvespace on the other hand gets the workflow part right, but falls short by no",Body_Text
0.999999908,0,1,0,0,0.871838482,0.902373331,0.009108006,15.5345459,85.8770752,file06.pdf,0,1,Body_Text
0.999999908,0,37,0,0,0.118386299,0.128180731,0.762545219,31.79356384,-651.7850189,file06.pdf,1,"Having solved the similar problem for PCB CAD by developing Horizon EDA, I began",Body_Text
0.981250085,0,191,0,0,0.150109189,0.175273585,0.733699886,226.9015656,39.64700317,file06.pdf,1,"• Geometry kernel to do extrusions, intersections, chamfers, etc.: While it’s no",Body_Text
0.999999908,0,27,0,0,0.118332547,0.454115213,0.765825033,31.7935791,234.7539825,file06.pdf,1,"With all of the building blocks available, I set out to glue them together to fo",Body_Text
1.09589238,1,3,0,0,0.119046489,0.517350096,0.112948613,17.02420044,53.23681641,file06.pdf,1,How to build,H1
0.999999908,0,4,0,0,0.119046489,0.553389467,0.199276448,15.53457642,30.34118652,file06.pdf,1,See the build instructions.,Body_Text
1.09589238,1,3,0,0,0.119046489,0.597311884,0.097805788,17.02423096,36.97784424,file06.pdf,1,How to use,H1
